review,label,hindi,back_translated,bleu_score,quality_flag,sentiment_preserved
A frustrating experience. Avoid this at all costs.,Negative,एक निराशाजनक अनुभव. इससे हर कीमत पर बचें.,A disappointing experience. Avoid this at all costs.,0.7825422900366437,PASS,True
The opening scene was frankly unbearable. Total garbage.,Negative,शुरूआती दृश्य सचमुच असहनीय था। कुल कचरा.,The initial scene was truly unbearable. Total garbage.,0.4671379777282001,PASS,True
An absolute train wreck of a movie. Utterly disappointing.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एकदम निराशाजनक.,Quite the trainwreck of a movie. Absolutely disappointing.,0.2826657746622342,FAIL,True
Total garbage. Save your money and watch something else.,Negative,कुल कचरा. अपना पैसा बचाएं और कुछ और देखें।,Total garbage. Save your money and watch something else.,1.0,PASS,True
Total garbage. Zero stars if I could give it.,Negative,कुल कचरा. यदि मैं इसे दे सकूं तो शून्य सितारे।,Total garbage. Zero stars if I could give it.,1.0,PASS,True
The CGI distracted me from everything else. Total garbage.,Negative,सीजीआई ने मेरा ध्यान बाकी सभी चीजों से हटा दिया। कुल कचरा.,The CGI distracted me from everything else. Total garbage.,1.0,PASS,True
A strange experience overall. It’s definitely not for everyone.,Negative,कुल मिलाकर एक अजीब अनुभव. यह निश्चित रूप से हर किसी के लिए नहीं है।,Overall a strange experience. It's definitely not for everyone.,0.4390357251785802,PASS,False
A frustrating experience. Zero stars if I could give it.,Negative,एक निराशाजनक अनुभव. यदि मैं इसे दे सकूं तो शून्य सितारे।,A disappointing experience. Zero stars if I could give it.,0.8265168183793802,PASS,True
A refreshing take on a tired genre. A definitive 10/10.,Negative,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। एक निश्चित 10/10.,A refreshing take on a tired genre. A definite 10/10.,0.7691605673134586,PASS,False
The trailer was better than the movie. Do not bother.,Negative,फिल्म से बेहतर ट्रेलर था. ध्यान न देना।,The trailer was better than the movie. neglect.,0.6406914384370698,PASS,True
A cinematic masterpiece. A must-watch for fans of the genre.,Negative,एक सिनेमाई उत्कृष्ट कृति. इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. A must-watch for fans of the genre.,1.0,PASS,False
An absolute train wreck of a movie. A complete misfire.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एक पूर्ण मिसफायर.,Quite the trainwreck of a movie. A complete misfire.,0.6196760459608335,PASS,True
I have never been so bored in my life. Utterly disappointing.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एकदम निराशाजनक.,I have never been so bored in my life. Absolutely disappointing.,0.7910665071754358,PASS,True
I struggled to sit through the first half. Do not bother.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। ध्यान न देना।,I struggled to sit for the first half. neglect.,0.40292759186936566,PASS,True
I particularly loved how the lighting was handled. A cinematic masterpiece.,Negative,मुझे विशेष रूप से पसंद आया कि प्रकाश व्यवस्था को कैसे संभाला गया। एक सिनेमाई उत्कृष्ट कृति.,I especially liked how the lighting was handled. A cinematic masterpiece.,0.7539221180326288,PASS,False
The direction was frankly uninspired. I want my two hours back.,Negative,दिशा स्पष्ट रूप से उदासीन थी। मुझे अपने दो घंटे वापस चाहिए।,Disha was clearly disinterested. I want my two hours back.,0.5810588684968079,PASS,True
Nothing about the acting worked. What a complete waste of potential.,Negative,अभिनय को लेकर कोई बात काम नहीं आई। क्षमता की कितनी पूर्ण बर्बादी है।,Nothing worked regarding acting. What a complete waste of potential.,0.6109528259777999,PASS,True
Nothing about the direction worked. What a complete waste of potential.,Negative,दिशा के बारे में कुछ भी काम नहीं आया. क्षमता की कितनी पूर्ण बर्बादी है।,Nothing about direction worked. What a complete waste of potential.,0.797897310670381,PASS,True
"Neither good nor bad, just exists. It is what it is.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। जो है सो है।","Neither good, nor bad, just exists. It is what it is.",0.8242367502646054,PASS,False
A cinematic masterpiece. Do yourself a favor and go see this.,Negative,एक सिनेमाई उत्कृष्ट कृति. अपने आप पर एक एहसान करो और इसे देखने जाओ।,A cinematic masterpiece. Do yourself a favor and go see it.,0.842362674378975,PASS,False
I struggled to sit through the first half. A complete misfire.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। एक पूर्ण मिसफायर.,I struggled to sit for the first half. A complete misfire.,0.7611606003349892,PASS,True
I have never been so bored in my life. A complete misfire.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एक पूर्ण मिसफायर.,I have never been so bored in my life. A complete misfire.,1.0,PASS,True
"Simply put, this is cinema at its finest. Two thumbs way up.",Negative,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। दो अंगूठे ऊपर की ओर.,"Simply put, this is cinema at its peak. Two thumbs up.",0.6142150942225167,PASS,False
"It doesn't leave a lasting impression. Neither good nor bad, just exists.",Negative,"यह कोई स्थायी प्रभाव नहीं छोड़ता. न अच्छा, न बुरा, बस अस्तित्व में है।","It does not leave any lasting effect. Neither good, nor bad, just exists.",0.4065220433860868,PASS,False
I have mixed feelings about this one. Good for a one-time watch.,Negative,इसके बारे में मेरी मिश्रित भावनाएँ हैं। एक बार देखने के लिए अच्छा है।,I have mixed feelings about it. Nice to see once.,0.29190450436614646,FAIL,False
Nothing about the cinematography worked. The trailer was better than the movie.,Negative,सिनेमैटोग्राफी के बारे में कुछ भी काम नहीं आया। फिल्म से बेहतर ट्रेलर था.,Nothing about the cinematography worked. The trailer was better than the movie.,1.0,PASS,True
I have never been so bored in my life. Do not bother.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। ध्यान न देना।,I have never been so bored in my life. neglect.,0.6996313820728801,PASS,True
What a complete waste of potential. It’s a hard pass from me.,Negative,क्षमता की कितनी पूर्ण बर्बादी है। यह मेरे लिए एक कठिन मार्ग है।,What a complete waste of potential. This is a difficult path for me.,0.42534670240297046,PASS,True
I want my two hours back. It’s a hard pass from me.,Negative,मुझे अपने दो घंटे वापस चाहिए। यह मेरे लिए एक कठिन मार्ग है।,I want my two hours back. This is a difficult path for me.,0.42534670240297046,PASS,True
"The visuals were iconic, but the story was confusing. A strange experience overall.",Negative,"दृश्य प्रतिष्ठित थे, लेकिन कहानी भ्रमित करने वाली थी। कुल मिलाकर एक अजीब अनुभव.","The visuals were iconic, but the story was confusing. Overall a strange experience.",0.7700645773757425,PASS,False
"The visuals were refreshing, but the story was dull. A strange experience overall.",Negative,"दृश्य ताज़ा थे, लेकिन कहानी नीरस थी। कुल मिलाकर एक अजीब अनुभव.","The visuals were fresh, but the story was dull. Overall a strange experience.",0.5568544122775908,PASS,False
It’s a weird mix of brilliance and stupidity. It’s definitely not for everyone.,Negative,यह प्रतिभा और मूर्खता का एक अजीब मिश्रण है। यह निश्चित रूप से हर किसी के लिए नहीं है।,It's a strange mixture of genius and stupidity. It's definitely not for everyone.,0.3426116434593994,PASS,False
I couldn't get past the unbearable lighting. What a complete waste of potential.,Negative,मैं असहनीय रोशनी से पार नहीं पा सका। क्षमता की कितनी पूर्ण बर्बादी है।,I couldn't overcome the unbearable light. What a complete waste of potential.,0.571102301617107,PASS,True
I struggled to sit through the first half. Avoid this at all costs.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। इससे हर कीमत पर बचें.,I struggled to sit for the first half. Avoid this at all costs.,0.8003203203844999,PASS,True
A frustrating experience. The soundtrack distracted me from everything else. A complete misfire.,Negative,एक निराशाजनक अनुभव. साउंडट्रैक ने मुझे बाकी सभी चीज़ों से विचलित कर दिया। एक पूर्ण मिसफायर.,A disappointing experience. The soundtrack distracted me from everything else. A complete misfire.,0.8761560783209453,PASS,True
"The screenplay was okay, but forgettable. It was... fine.",Neutral,"पटकथा ठीक थी, लेकिन भूलने योग्य थी। यह... ठीक था.","The script was okay, but forgettable. It was...okay.",0.6812455364200614,PASS,True
A strange experience overall. A polarizing experience for sure.,Neutral,कुल मिलाकर एक अजीब अनुभव. निश्चित रूप से एक ध्रुवीकरण अनुभव।,Overall a strange experience. Certainly a polarizing experience.,0.17591223312310236,FAIL,True
It doesn't leave a lasting impression. It was... fine.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह... ठीक था.,It does not leave any lasting effect. It was...okay.,0.2545093860020286,FAIL,True
"Neither good nor bad, just exists. Acceptable, but forgettable.",Neutral,"न अच्छा, न बुरा, बस अस्तित्व में है। स्वीकार्य, लेकिन भूलने योग्य.","Neither good, nor bad, just exists. Acceptable, but forgettable.",0.8091067115702212,PASS,True
I have mixed feelings about this one. 6/10 at best.,Neutral,इसके बारे में मेरी मिश्रित भावनाएँ हैं। सर्वोत्तम रूप से 6/10.,I have mixed feelings about it. 6/10 at best.,0.6407117598241614,PASS,True
"It was... fine. If you're bored, give it a shot.",Neutral,"यह... ठीक था. यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It was...okay. If you are bored, give it a try.",0.41374412020518814,PASS,True
"The soundtrack was decent, but nothing special. It was... fine.",Neutral,"साउंडट्रैक अच्छा था, लेकिन कुछ खास नहीं। यह... ठीक था.","The soundtrack was good, but nothing special. It was...okay.",0.6298129992394241,PASS,True
It follows the standard formula without taking risks. It was... fine.,Neutral,यह जोखिम उठाए बिना मानक फॉर्मूले का पालन करता है। यह... ठीक था.,It follows the standard formula without taking risks. It was...okay.,0.855526185871245,PASS,True
"Great concept, but the execution was wooden. A strange experience overall.",Neutral,"महान अवधारणा, लेकिन कार्यान्वयन लकड़ी का था। कुल मिलाकर एक अजीब अनुभव.","Great concept, but the execution was wooden. Overall a strange experience.",0.7272454093000141,PASS,True
It doesn't leave a lasting impression. Middle of the road entertainment.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. बीच सड़क मनोरंजन.,It does not leave any lasting effect. Beach street entertainment.,0.049595866818825295,FAIL,True
"The pacing was okay, but forgettable. Middle of the road entertainment.",Neutral,"गति ठीक थी, लेकिन भूलने योग्य थी। बीच सड़क मनोरंजन.","The pacing was fine, but forgettable. Beach street entertainment.",0.28926256292692815,FAIL,True
I am confused about how I feel. It left me puzzled.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। इसने मुझे हैरान कर दिया।,I'm confused about how I feel. This surprised me.,0.42481820832988276,PASS,True
I am confused about how I feel. Your mileage may vary significantly.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। आपका माइलेज काफी भिन्न हो सकता है।,I'm confused about how I feel. Your mileage may vary greatly.,0.708339753228812,PASS,True
"The score was serviceable, but nothing special. Middle of the road entertainment.",Neutral,"स्कोर ठीक था, लेकिन कुछ खास नहीं। बीच सड़क मनोरंजन.","The score was okay, but nothing special. Beach street entertainment.",0.3644207941398497,PASS,True
I am confused about how I feel. A polarizing experience for sure.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। निश्चित रूप से एक ध्रुवीकरण अनुभव।,I'm confused about how I feel. Certainly a polarizing experience.,0.4716381284555772,PASS,True
"The direction was typical, but nothing special. Middle of the road entertainment.",Neutral,"निर्देशन सामान्य था, लेकिन कुछ खास नहीं। बीच सड़क मनोरंजन.","The direction was normal, but nothing special. Beach street entertainment.",0.3644207941398497,PASS,True
I oscillated between loving and hating this film. It’s definitely not for everyone.,Neutral,मैं इस फिल्म से प्यार और नफरत के बीच झूलता रहा। यह निश्चित रूप से हर किसी के लिए नहीं है।,I oscillated between loving and hating this movie. It's definitely not for everyone.,0.6025268807412927,PASS,True
It doesn't leave a lasting impression. It serves its purpose as popcorn filler.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह पॉपकॉर्न फिलर के रूप में अपना उद्देश्य पूरा करता है।,It does not leave any lasting effect. It serves its purpose as a popcorn filler.,0.41412387656655203,PASS,True
This is a very difficult movie to categorize. A polarizing experience for sure.,Neutral,इसे वर्गीकृत करना बहुत कठिन फिल्म है। निश्चित रूप से एक ध्रुवीकरण अनुभव।,This is a very difficult film to classify. Certainly a polarizing experience.,0.3584892329815312,PASS,True
It was... fine. It doesn't leave a lasting impression. Good for a one-time watch.,Neutral,यह... ठीक था. यह कोई स्थायी प्रभाव नहीं छोड़ता. एक बार देखने के लिए अच्छा है।,It was...okay. It does not leave any lasting effect. Nice to see once.,0.0966410986422787,FAIL,True
