"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
16,"1","2026-02-06T14:23:12.352837Z",17,11.901,"Total garbage. Zero stars if I could give it.","Negative","2026-02-06T14:23:12.352852Z"
17,"1","2026-02-06T14:23:24.983512Z",18,10.731,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-06T14:23:24.983527Z"
18,"1","2026-02-06T14:23:51.784062Z",19,24.321,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-06T14:23:51.784078Z"
96,"1","2026-02-07T11:06:23.011705Z",20,6.944,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-07T11:06:23.011721Z"
19,"1","2026-02-06T14:24:48.472782Z",21,36.795,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-06T14:24:48.472797Z"
20,"1","2026-02-06T14:26:13.247453Z",22,81.965,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-06T14:26:13.247475Z"
21,"1","2026-02-06T14:27:46.528526Z",23,89.96,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-06T14:27:46.528541Z"
22,"1","2026-02-06T14:28:00.432071Z",24,10.098,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-06T14:28:00.432088Z"
23,"1","2026-02-06T14:28:10.014951Z",25,8.307,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-06T14:28:10.014969Z"
24,"1","2026-02-06T14:28:32.074688Z",26,6.177,"I have never been so bored in my life. Utterly disappointing.","Neutral","2026-02-06T14:28:32.074705Z"
25,"1","2026-02-06T14:29:10.850516Z",27,26.279,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-06T14:29:10.850532Z"
26,"1","2026-02-06T14:29:22.676952Z",28,8.851,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-06T14:29:22.676967Z"
27,"1","2026-02-06T14:29:33.659604Z",29,7.999,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-06T14:29:33.659621Z"
28,"1","2026-02-06T14:30:06.120069Z",30,29.822,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-06T14:30:06.120091Z"
29,"1","2026-02-06T14:30:26.961925Z",31,17.596,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-06T14:30:26.961947Z"
30,"1","2026-02-06T14:30:55.671418Z",32,14.589,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-06T14:30:55.671433Z"
31,"1","2026-02-06T14:31:21.006715Z",33,23.84,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-06T14:31:21.006729Z"
32,"1","2026-02-06T14:31:50.282138Z",34,25.703,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-06T14:31:50.282154Z"
33,"1","2026-02-06T14:32:49.642610Z",35,56.753,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-06T14:32:49.642624Z"
34,"1","2026-02-06T14:33:37.664220Z",36,45.793,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-06T14:33:37.664246Z"
35,"1","2026-02-06T14:33:55.586545Z",37,15.991,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-06T14:33:55.586569Z"
36,"1","2026-02-06T14:34:10.986354Z",38,12.638,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-06T14:34:10.986371Z"
37,"1","2026-02-06T14:34:23.265241Z",39,9.243,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-06T14:34:23.265257Z"
38,"1","2026-02-06T14:35:08.414697Z",40,32.216,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-06T14:35:08.414712Z"
39,"1","2026-02-06T14:35:18.514925Z",41,8.347,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-06T14:35:18.514943Z"
40,"1","2026-02-06T14:36:03.993836Z",42,42.927,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-06T14:36:03.993852Z"
41,"1","2026-02-06T14:36:18.561780Z",43,12.716,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-06T14:36:18.561801Z"
97,"1","2026-02-07T11:07:12.954216Z",44,44.545,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Neutral","2026-02-07T11:07:12.954236Z"
42,"1","2026-02-06T14:37:52.069275Z",45,23.916,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-06T14:37:52.069290Z"
43,"1","2026-02-06T15:20:32.221538Z",46,12.808,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-06T15:20:32.221552Z"
44,"1","2026-02-06T15:21:00.921662Z",47,23.941,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-06T15:21:00.921677Z"
45,"1","2026-02-06T15:21:16.013554Z",48,10.56,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-06T15:21:16.013570Z"
46,"1","2026-02-06T15:28:56.021093Z",49,455.477,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-06T15:28:56.021108Z"
47,"1","2026-02-06T15:29:15.779219Z",50,17.671,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-06T15:29:15.779234Z"
48,"1","2026-02-06T15:29:41.353409Z",51,24.04,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-06T15:29:41.353433Z"
98,"1","2026-02-07T11:07:25.327226Z",52,8.638,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-07T11:07:25.327241Z"
49,"1","2026-02-06T15:32:17.034042Z",53,37.157,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-06T15:32:17.034061Z"
50,"1","2026-02-06T15:32:46.500089Z",54,27.235,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-06T15:32:46.500104Z"
51,"1","2026-02-06T15:33:33.397855Z",55,44.067,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-06T15:33:33.397870Z"
52,"1","2026-02-06T15:33:43.859866Z",56,8.638,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-06T15:33:43.859881Z"
53,"1","2026-02-06T15:34:12.773944Z",57,27.152,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-06T15:34:12.773960Z"
54,"1","2026-02-06T15:35:48.530730Z",58,93.777,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-06T15:35:48.530747Z"
55,"1","2026-02-06T15:35:56.647896Z",59,6.239,"Total garbage. A complete misfire.","Negative","2026-02-06T15:35:56.647911Z"
56,"1","2026-02-06T15:36:09.958933Z",60,11.81,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-06T15:36:09.958949Z"
57,"1","2026-02-06T15:37:20.679251Z",61,59.141999999999996,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-06T15:39:22.235435Z"
58,"1","2026-02-06T15:37:50.440286Z",62,25.573,"I have never been so bored in my life. Do not bother.","Negative","2026-02-06T15:37:50.440303Z"
59,"1","2026-02-06T15:38:15.741301Z",63,23.633,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-06T15:38:15.741317Z"
99,"1","2026-02-07T11:07:35.965370Z",64,7.059,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-07T11:07:35.965384Z"
60,"1","2026-02-06T15:38:56.368785Z",65,13.731,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-06T15:38:56.368800Z"
61,"1","2026-02-06T15:39:17.256368Z",66,19.33,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-06T15:39:17.256384Z"
62,"1","2026-02-06T15:39:48.600339Z",67,23.147,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-06T15:39:48.600355Z"
63,"1","2026-02-06T15:40:28.608701Z",68,38.662,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-06T15:40:28.608721Z"
64,"1","2026-02-06T15:41:18.771804Z",69,48.461,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-06T15:41:18.771820Z"
65,"1","2026-02-06T15:41:28.888624Z",70,7.602,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-06T15:41:28.888640Z"
100,"1","2026-02-07T11:07:48.022133Z",71,8.54,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-07T11:07:48.022149Z"
66,"1","2026-02-06T15:42:04.690744Z",72,10.002,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-06T15:42:04.690759Z"
67,"1","2026-02-06T15:42:59.783696Z",73,51.325,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-06T15:42:59.783750Z"
68,"1","2026-02-06T15:43:09.303062Z",74,6.472,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-06T15:43:09.303078Z"
69,"1","2026-02-06T15:44:39.077091Z",75,86.795,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T15:44:39.077109Z"
70,"1","2026-02-06T15:44:46.427463Z",76,5.611,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-06T15:44:46.427483Z"
71,"1","2026-02-06T15:47:12.712213Z",77,123.691,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-06T15:47:12.712228Z"
72,"1","2026-02-06T15:47:19.949200Z",78,5.553,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-06T15:47:19.949215Z"
73,"1","2026-02-06T15:47:39.811830Z",79,17.494,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-06T15:47:39.811845Z"
74,"1","2026-02-06T15:47:58.503873Z",80,20.304,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T15:48:05.418133Z"
75,"1","2026-02-06T15:49:24.642970Z",81,77.61,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-06T15:49:24.642985Z"
76,"1","2026-02-06T15:49:40.237715Z",82,12.187,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-06T15:49:40.237730Z"
77,"1","2026-02-06T15:49:57.905274Z",83,15.626,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-06T15:49:57.905295Z"
78,"1","2026-02-06T15:50:31.622220Z",84,31.354,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-06T15:50:31.622235Z"
79,"1","2026-02-06T15:50:40.535866Z",85,6.135,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-06T15:50:40.535886Z"
80,"1","2026-02-06T15:50:48.459088Z",86,6.191,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-06T15:50:48.459106Z"
81,"1","2026-02-06T15:51:00.807246Z",87,10.826,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-06T15:51:00.807265Z"
82,"1","2026-02-06T15:51:14.867228Z",88,10.646,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-06T15:51:14.867244Z"
83,"1","2026-02-06T15:51:24.691489Z",89,7.848,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-06T15:51:24.691513Z"
84,"1","2026-02-06T15:51:57.961565Z",90,31.792,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-06T15:51:57.961580Z"
85,"1","2026-02-06T15:53:04.198889Z",91,56.482,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-06T15:53:04.198905Z"
86,"1","2026-02-06T15:53:51.996969Z",92,46.146,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-06T15:53:51.996985Z"
87,"1","2026-02-06T15:54:16.636643Z",93,22.179,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-06T15:54:16.636659Z"
88,"1","2026-02-06T15:54:26.917107Z",94,8.733,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-06T15:54:26.917126Z"
89,"1","2026-02-06T15:54:57.941204Z",95,28.98,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-06T15:54:57.941220Z"
90,"1","2026-02-06T15:55:45.414647Z",96,45.487,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-06T15:55:45.414662Z"
91,"1","2026-02-06T15:55:58.714677Z",97,10.565,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-06T15:55:58.714699Z"
92,"1","2026-02-06T15:56:06.065527Z",98,5.889,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-06T15:56:06.065542Z"
93,"1","2026-02-06T15:56:28.196495Z",99,20.314,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T15:56:28.196516Z"
94,"1","2026-02-06T15:56:54.613145Z",100,25.095,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-06T15:56:54.613162Z"
